"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Net bilateral aid flows from DAC donors, Slovenia (current US$)","DC.DAC.SVNL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","",
"Armenia","ARM","Net bilateral aid flows from DAC donors, France (current US$)","DC.DAC.FRAL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460000.00834465","2200000.04768372","1600000.02384186","2009999.99046326","5769999.98092651","4340000.15258789","2359999.89509583","2039999.96185303","2529999.97138977","4119999.88555908","3839999.91416931","3029999.97138977","4000000","3809999.94277954","14109999.6566772","8500000","5530000.20980835","5670000.07629395","4469999.79019165","5590000.15258789","8090000.15258789","11109999.6566772","17190000.5340576","20500000","81860000.6103516","39099998.4741211","21450000.7629395","11630000.1144409","",
"Armenia","ARM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Insurance and financial services (% of service exports, BoP)","BX.GSR.INSF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","6.4380442622524","2.92935398459469","2.43751585889771","2.63246320156055","3.12564756783116","2.23259659804855","3.27924845124529","3.28279454595123","2.84648683892168","3.01078737853401","2.29033604449212","2.10760409625618","2.16369895392978","1.69070826014686","1.99329961639639","2.04305807735259","1.54212091235775","1.83005027806737","1.81111494535183","1.56259030149698","1.62377107403543","1.74150394704474","1.91296368022288","2.07823178072791","",
"Armenia","ARM","Net primary income (BoP, current US$)","BN.GSR.FCTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1300000","-4020000","39521300","44730000","97204737.83188","58815383.6061178","54956104.5797981","58972285.1578929","63600535.328732","82370820.7428298","92876589.3532494","148352015.223704","206006379.463959","302026902.210174","497420802.862147","691280287.210158","358781515.660936","458281240.768841","360073591.451948","423036162.49865","682546974.623462","522216022.789541","428407517.989133","245150207.587866","407368059.004687","218605858.075172","227733337.948189","",
"Armenia","ARM","Primary income payments (BoP, current US$)","BM.GSR.FCTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300000","4020000","14610000","33310000","41745262.16812","44298216.3938823","38609975.4202019","44708002.3166976","40135707.2602111","54205720.5268104","73076323.7338029","246008995.29048","278849299.291451","353936902.675217","459039384.584198","441972830.009489","517019598.231777","590807847.833708","705472902.794338","692184077.893571","576601982.969489","690702149.158235","457523639.704681","601457712.196182","610031348.397547","691444187.524997","710189757.724349","",
"Armenia","ARM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3350","3346","3343.12","3341.03","3338.94","3336.85","3334.76","3332.67","3330.58","3328.49","3326.4","3324.32","3322.24","3320.16","3318.08","3316","3313.92","3311.84","3309.76","3307.68","3305.6","3303.52","3301.44","3299.36","3297.28","3295.2","3293.1","3291","3288.9","","",
"Armenia","ARM","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2503361697","1.6418594721","","3.075669771","1.4267158541","1.127807609","1.3750692766","1.3059236379","0.94096677962","1.177237357","1.587317358","1.1350902471","1.2168790752","0.6787339005","1.3838584237","0.69647054056","1.6580733825","0.83541222452","1.7062676495","1.6275819146","0.65318364977","1.2417099522","1.2394128054","1.23510239","1.2949149338","1.3546411943","1.0288509086","0.70538729931","0.70371130947","","",
"Armenia","ARM","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0158015150402967","0.00971360034941405","0.00936378337409818","0.119809900415389","0.00164026983302053","0.119986125629464","0.050580377331745","0.0642958940414928","0.0304465223641155","0.052722347063519","0.0551090973741693","0.0654460181051751","0.290695802783971","0.287076873930801","0.42542622553523","0.566525447782178","0.253765608451425","0.120482719802133","0.0714109593883925","0.0392616441627905","0.0481128367069067","0.100568895970715","0.15121527707905","0.0296663617299342","0.150661233659527","",
"Armenia","ARM","Export unit value index (2000 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","97.37185252","96.4045837599999","101.6183351","117.0570392","123.5102248","149.6385337","161.7772788","188.8651541","169.3488853","204.2348667","227.131941","213.8223915","201.4980923","196.3995319","175.4670997","171.0949254","192.532002","202.4329623","197.9815648","",
"Armenia","ARM","Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","TM.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.1390818243747","52.333921588405","49.0342635082846","35.2868219609724","40.7204878102678","33.5911121227471","32.1321691913738","25.0099553874887","29.5082537447216","39.4562694340601","34.8592609697622","35.9290035468749","34.2225387572859","38.0385893135712","39.7198288832986","38.4202004904323","40.9079053493977","40.5652695617611","38.8120987445327","39.5640712927659","38.7223027769221","37.8785215634356","41.2644679965783","43.4804065050709","41.4769799590817","37.4316798233719","37.5666770671737","",
"Armenia","ARM","Share of tariff lines with specific rates, primary products (%)","TM.TAX.TCOM.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","1.540154","1.690141","1.676224","1.912351","2.61194","1.88744","0","0","0","0","0","0.0305795","5.606324","6.44612","4.339005","","0","",
"Armenia","ARM","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","0","0","0","0.0028072","0","0","0","0","0","0.1870579","0.3137006","0.6414495","0.2910132","","0.1639378","",
"Armenia","ARM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111000","110000","131000","169000","221000","269000","329000","468000","516000","526000","563000","715000","965000","1083000","1198000","1187000","1263000","1482000","1623000","1868000","",
"Armenia","ARM","Population, male","SP.POP.TOTL.MA.IN","903002","937045","971494","1006013","1040243","1073912","1106797","1138846","1170242","1201276","1232158","1262935","1293462","1323512","1352769","1381021","1408108","1434128","1459383","1484314","1509206","1533514","1556870","1579965","1603713","1628365","1655209","1683010","1706507","1718651","1714815","1692674","1654931","1608298","1562323","1524014","1495574","1475294","1461447","1450803","1440917","1431993","1424854","1418318","1410959","1401873","1390219","1376498","1362800","1352072","1346353","1346389","1351250","1359255","1367900","1375330","1381014","1385371","1388616","1391270","",
"Armenia","ARM","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","2.26110524158753","2.06072975260093","1.82056219900947","1.58132754990817","1.3975886165321","1.29619616583363","1.25038593478322","1.25803559824175","1.3030303030303","1.37810831311521","1.48223888920257","1.58086983696124","1.69518129022132","1.80461551417974","1.88989289082183","1.94842856887005","1.9949739212257","2.02026020840244","2.02992779748185","2.03490044056917","2.0427512226895","2.04678362573099","2.06668650183923","2.07991183074204","2.05614778198008","1.98351811812328","1.8480704410626","1.68095302433043","1.5216143649383","1.4248369752374","1.41919936468658","1.49284527736446","1.62415095352729","1.80931062700734","2.04997031385977","2.34879690079045","2.66374833123386","3.04507624905673","3.42870082234426","3.71714875553803","3.85527639918781","3.79281309056134","3.58164043395067","3.32867180081232","3.19174364903338","3.25429025852986","3.45185369415561","3.84411721990235","4.28193390021854","4.5420602973527","4.5051382691809","4.13757362032954","3.52319397984584","2.83605510896853","2.31284756326145","2.07318158771689","2.05879497123397","2.26288245618423","2.5941357817369","2.93323987413651","",
"Armenia","ARM","Population ages 45-49, female (% of female population)","SP.POP.4549.FE.5Y","4.62497863287469","4.22679078102444","3.73168046041014","3.23227270691174","2.85582388935153","2.67116814151512","2.6460800571996","2.76609535743208","3.01324234300106","3.35828200533108","3.77211389200632","4.31144260505731","4.89873789906288","5.43572852236893","5.80972286731692","5.97616367736789","5.97412170184674","5.76904104019795","5.47016160230424","5.25053137984936","5.20926395947065","5.37402250241858","5.72089957191462","6.09148042840227","6.25715344051875","6.10439852609436","5.69573214434776","5.020529278318","4.24523789927014","3.6208715704838","3.29404305915698","3.19169536886392","3.34086922670771","3.6730430382286","4.06177273313496","4.42676729648888","4.80688347722736","5.19124545856504","5.59122460452077","6.02422876564657","6.48857938068751","6.92892352039578","7.36189837569906","7.76717176674166","8.09991206208744","8.32206317367696","8.41064100479247","8.39544301910266","8.27606653478473","8.06824906690729","7.79724918237737","7.48901413458045","7.12062226350699","6.72942286915585","6.37104622004619","6.08298402942539","5.86965873658395","5.7328108337229","5.66609154260556","5.65364302544784","",
